,wd,ws,yaw_angles_opt,ai_opt,freq_val,yaw_000,yaw_001,yaw_002,yaw_003,yaw_004,yaw_005,yaw_006,yaw_007,yaw_008,ai_000,ai_001,ai_002,ai_003,ai_004,ai_005,ai_006,ai_007,ai_008
64,270,8.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.3099695  0.30385731 0.32145247 0.3089133
 0.33       0.33       0.32502858]",0.00030967321326701456,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.3099695036855037,0.3038573107379354,0.3214524652378098,0.3089133002242643,0.33,0.33,0.32502857995990503
65,270,8.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],[0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33],0.00030967321326701456,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
66,270,9.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],[0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.33 0.32],0.00030967321326701456,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32
67,270,9.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33      0.33      0.33      0.3160763 0.3160763 0.3160763 0.33
 0.33      0.33     ]",0.00030152391818101944,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3160763001136675,0.3160763001136675,0.3160763001136675,0.33,0.33,0.33
68,270,10.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31552672 0.31552672 0.31552672
 0.33       0.33       0.32001739]",0.0002933746230950243,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.31552671698346857,0.31552671698346857,0.31552671698346857,0.33,0.33,0.3200173876728499
69,270,10.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31552672 0.31552672 0.31552672
 0.33       0.33       0.31001739]",0.0002607774427511438,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.31552671698346857,0.31552671698346857,0.31552671698346857,0.33,0.33,0.31001738767284986
70,270,11.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.32001844]",0.00022818026240726337,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.32001843905040195
71,270,11.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.31001844]",0.00021188167223532315,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.31001843905040194
72,270,12.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.32001844]",0.0001955830820633829,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.32001843905040195
73,270,12.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.31001844]",0.0001629859017194524,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.31001843905040194
